,Estado,Periodo,ANOVA_flag,Kurskal_flag
1,Baja California,2014-2019,1,1
6,Ciudad de México,2014-2019,1,1
13,Jalisco,2014-2019,1,1
14,México,2014-2019,1,1
15,Michoacán,2014-2019,1,1
18,Nuevo León,2014-2019,1,0
20,Puebla,2014-2019,1,1
21,Querétaro,2014-2019,1,1
24,Sinaloa,2014-2019,1,1
28,Tlaxcala,2014-2019,1,1
