,Estado,Periodo,ANOVA_flag,Kurskal_flag
4,Coahuila,2004-2009,1,1
6,Chiapas,2004-2009,1,1
10,Guanajuato,2004-2009,1,1
12,Hidalgo,2004-2009,0,1
13,Jalisco,2004-2009,1,1
15,Michoacán,2004-2009,1,1
16,Morelos,2004-2009,1,1
20,Puebla,2004-2009,1,1
29,Veracruz,2004-2009,1,1
30,Yucatán,2004-2009,1,1
