,Estado,Periodo,ANOVA_flag,Kurskal_flag
3,Campeche,2014-2019,0,1
8,Ciudad de México,2014-2019,1,1
10,Guanajuato,2014-2019,1,1
12,Hidalgo,2014-2019,1,1
15,Michoacán,2014-2019,1,1
16,Morelos,2014-2019,1,1
20,Puebla,2014-2019,1,1
27,Tamaulipas,2014-2019,0,1
28,Tlaxcala,2014-2019,0,1
30,Yucatán,2014-2019,1,1
31,Zacatecas,2014-2019,1,1
