,Estado,Periodo,ANOVA_flag,Kurskal_flag
10,Guanajuato,2014-2019,1,1
13,Jalisco,2014-2019,1,1
20,Puebla,2014-2019,1,1
23,San Luis Potosí,2014-2019,1,1
30,Yucatán,2014-2019,1,1
