,Estado,Periodo,ANOVA_flag,Kurskal_flag
4,Coahuila,2004-2009,1,1
10,Guanajuato,2004-2009,1,1
13,Jalisco,2004-2009,1,1
18,Nuevo León,2004-2009,1,1
27,Tamaulipas,2004-2009,1,1
