,Estado,Periodo,ANOVA_flag,Kurskal_flag
8,Ciudad de México,2014-2019,1,1
10,Guanajuato,2014-2019,1,1
11,Guerrero,2014-2019,1,0
12,Hidalgo,2014-2019,1,1
15,Michoacán,2014-2019,1,1
16,Morelos,2014-2019,1,1
20,Puebla,2014-2019,1,1
26,Tabasco,2014-2019,1,0
30,Yucatán,2014-2019,1,1
31,Zacatecas,2014-2019,1,1
