,Estado,Periodo,ANOVA_flag,Kurskal_flag
8,Ciudad de México,2009-2014,1,1
10,Guanajuato,2009-2014,1,0
14,México,2009-2014,1,1
15,Michoacán,2009-2014,1,1
16,Morelos,2009-2014,1,1
18,Nuevo León,2009-2014,1,0
20,Puebla,2009-2014,1,1
25,Sonora,2009-2014,1,1
28,Tlaxcala,2009-2014,1,1
29,Veracruz,2009-2014,1,1
30,Yucatán,2009-2014,1,1
